slug,category,canonical_label,software_group,status,image_path,image_alt,affiliate_url_us,affiliate_url_uk,variant_label,variant_sort_order,variant_affiliate_url_us,variant_affiliate_url_uk
acrylic-brushes,art,Acrylic Brushes,,published,equipment/art/acrylic-brushes.jpg,Acrylic Brushes,https://www.jacksonsart.com/en-us/jackson-s-procryl-mottler-brushes-series-555,https://www.jacksonsart.com/jackson-s-procryl-mottler-brushes-series-555,Jacksons,0,https://www.jacksonsart.com/en-us/jackson-s-procryl-mottler-brushes-series-555,https://www.jacksonsart.com/jackson-s-procryl-mottler-brushes-series-555
acrylic-brushes,art,Acrylic Brushes,,published,equipment/art/acrylic-brushes.jpg,Acrylic Brushes,https://www.jacksonsart.com/en-us/jackson-s-procryl-mottler-brushes-series-555,https://www.jacksonsart.com/jackson-s-procryl-mottler-brushes-series-555,Da Vinci,1,https://www.jacksonsart.com/en-us/da-vinci-top-acryl-synthetic-brushes-7185-7485-7785,https://www.jacksonsart.com/da-vinci-top-acryl-synthetic-brushes-7185-7485-7785
acrylic-brushes,art,Acrylic Brushes,,published,equipment/art/acrylic-brushes.jpg,Acrylic Brushes,https://www.jacksonsart.com/en-us/jackson-s-procryl-mottler-brushes-series-555,https://www.jacksonsart.com/jackson-s-procryl-mottler-brushes-series-555,Daler Rowney,2,https://www.jacksonsart.com/en-us/daler-rowney-cryla-acrylic-brushes-short-handles-series-c10,https://www.jacksonsart.com/daler-rowney-cryla-acrylic-brushes-short-handles-series-c10
acrylic-brushes,art,Acrylic Brushes,,published,equipment/art/acrylic-brushes.jpg,Acrylic Brushes,https://www.jacksonsart.com/en-us/jackson-s-procryl-mottler-brushes-series-555,https://www.jacksonsart.com/jackson-s-procryl-mottler-brushes-series-555,Escoda,3,https://www.jacksonsart.com/en-us/escoda-clasico-hog-brushes-2360-4628-4829-5131-5337,https://www.jacksonsart.com/escoda-clasico-hog-brushes-2360-4628-4829-5131-5337
acrylic-paint,art,Acrylic Paint,,published,equipment/art/acrylic-paint.jpg,Acrylic Paint,https://www.jacksonsart.com/en-us/jackson-s-professional-acrylic-paint,https://www.jacksonsart.com/jackson-s-studio-acrylic-paint-250ml-set-of-10,Jacksons,0,https://www.jacksonsart.com/en-us/jackson-s-professional-acrylic-paint,https://www.jacksonsart.com/jackson-s-studio-acrylic-paint-250ml-set-of-10
acrylic-paint,art,Acrylic Paint,,published,equipment/art/acrylic-paint.jpg,Acrylic Paint,https://www.jacksonsart.com/en-us/jackson-s-professional-acrylic-paint,https://www.jacksonsart.com/jackson-s-studio-acrylic-paint-250ml-set-of-10,Golden,1,https://www.jacksonsart.com/en-us/golden-heavy-body-acrylic-paint-essentials-set-59ml-2oz-set-of-6,https://www.jacksonsart.com/golden-heavy-body-acrylic-paint-essentials-set-6-x-59ml
acrylic-paint,art,Acrylic Paint,,published,equipment/art/acrylic-paint.jpg,Acrylic Paint,https://www.jacksonsart.com/en-us/jackson-s-professional-acrylic-paint,https://www.jacksonsart.com/jackson-s-studio-acrylic-paint-250ml-set-of-10,Windsor & Newton,2,https://www.amazon.com/Winsor-Newton-Galeria-Acrylic-Packaging/dp/B00004THXG,https://www.amazon.co.uk/Winsor-Newton-Galeria-Acrylic-Packaging/dp/B00004THXG
acrylic-paint,art,Acrylic Paint,,published,equipment/art/acrylic-paint.jpg,Acrylic Paint,https://www.jacksonsart.com/en-us/jackson-s-professional-acrylic-paint,https://www.jacksonsart.com/jackson-s-studio-acrylic-paint-250ml-set-of-10,Liquitex,3,https://www.amazon.com/Liquitex-Classic-Professional-Heavy-Acrylic/dp/B075Y87RBX,https://www.amazon.co.uk/Liquitex-Classic-Professional-Heavy-Acrylic/dp/B075Y87RBX
acrylic-paint,art,Acrylic Paint,,published,equipment/art/acrylic-paint.jpg,Acrylic Paint,https://www.jacksonsart.com/en-us/jackson-s-professional-acrylic-paint,https://www.jacksonsart.com/jackson-s-studio-acrylic-paint-250ml-set-of-10,Artecho,4,https://www.amazon.com/Artecho-Acrylic-Brushes-Supplies-Beginners/dp/B0CW33RCMZ,https://www.amazon.co.uk/Artecho-Acrylic-Waterproof-Supplies-Leather/dp/B0D1R3WD1N
ballpoint-pens,art,Ballpoint Pens,,published,equipment/art/ballpoint-pens.jpg,Ballpoint Pens,https://www.amazon.com/Cristal-Original-Ballpoint-Medium-Point/dp/B000I5ZK2U,https://www.amazon.co.uk/Cristal-Original-Ballpoint-Medium-Point/dp/B000I5ZK2U,Bic,0,https://www.amazon.com/Cristal-Original-Ballpoint-Medium-Point/dp/B000I5ZK2U,https://www.amazon.co.uk/Cristal-Original-Ballpoint-Medium-Point/dp/B000I5ZK2U
